benchmark,selector,budget,found_best_pct,mean_accuracy,mean_evals,mean_cost,cost_savings,bf_evals,bf_cost,gt_name,gt_acc
gpqa,matrix_ucb,0.1,48.0,0.7128282828282829,179.0,0.4928058566000001,89.53774465548999,1782,4.7103214399999915,agent=Claude Opus 4.6,0.7474747474747475
gpqa,matrix_ucb_lrf,0.1,38.0,0.7143434343434342,179.0,0.4799379175999999,89.81093066124166,1782,4.7103214399999915,agent=Claude Opus 4.6,0.7474747474747475
gpqa,matrix_ucb,0.2,70.0,0.7386868686868685,357.0,1.7934314164000003,61.92549830739358,1782,4.7103214399999915,agent=Claude Opus 4.6,0.7474747474747475
gpqa,matrix_ucb_lrf,0.2,66.0,0.7369696969696968,357.0,1.1233263740000003,76.15181069256279,1782,4.7103214399999915,agent=Claude Opus 4.6,0.7474747474747475
gpqa,matrix_ucb,0.3,80.0,0.7434343434343433,535.0,3.1136615846,33.8970466397723,1782,4.7103214399999915,agent=Claude Opus 4.6,0.7474747474747475
gpqa,matrix_ucb_lrf,0.3,26.0,0.726161616161616,535.0,2.569256651400001,45.45474902027057,1782,4.7103214399999915,agent=Claude Opus 4.6,0.7474747474747475
gpqa,matrix_ucb,0.5,100.0,0.7474747474747475,891.0,4.175112885800001,11.362463496758545,1782,4.7103214399999915,agent=Claude Opus 4.6,0.7474747474747475
gpqa,matrix_ucb_lrf,0.5,100.0,0.7474747474747475,891.0,4.165696540799998,11.562372252879506,1782,4.7103214399999915,agent=Claude Opus 4.6,0.7474747474747475
bfcl,matrix_ucb,0.1,32.0,0.6886999999999998,180.0,8.457765005999999,90.02679732866939,1800,84.80490455000027,agent=Kimi K2.5,0.7
bfcl,matrix_ucb_lrf,0.1,22.0,0.6814999999999994,180.0,8.9751850438,89.41666747763591,1800,84.80490455000027,agent=Kimi K2.5,0.7
bfcl,matrix_ucb,0.2,30.0,0.6989999999999997,360.0,26.139522469799996,69.17687413422139,1800,84.80490455000027,agent=Kimi K2.5,0.7
bfcl,matrix_ucb_lrf,0.2,34.0,0.6929999999999997,360.0,19.769418139199992,76.68835517933505,1800,84.80490455000027,agent=Kimi K2.5,0.7
bfcl,matrix_ucb,0.3,32.0,0.6989999999999997,540.0,43.4279111796,48.79080235979127,1800,84.80490455000027,agent=Kimi K2.5,0.7
