rank,planner_model,solver_model,accuracy,total_cost,cost_per_sample,planner_input_tokens,planner_output_tokens,solver_input_tokens,solver_output_tokens,total_input_tokens,total_output_tokens,note
1,Ministral 3 8B,Claude Opus 4.6,0.7478,2.71,0.0136,294258,10907,513322,4083,807580,14990,
2,Qwen3 32B,Claude Opus 4.6,0.7297,2.67,0.0134,296017,5423,501750,4375,797767,9798,
3,Claude 3 Haiku,Claude Opus 4.6,0.7258,2.67,0.0134,313176,13446,490628,4813,803804,18259,
4,Qwen3 Next 80B A3B,Claude Opus 4.6,0.7232,2.66,0.0133,295221,7292,500854,3921,796075,11213,
5,Qwen3 Next 80B A3B,gpt-oss-120b,0.7129,0.13,0.0006,295221,7379,361294,30335,656515,37714,
6,Kimi K2.5,Claude Opus 4.6,0.7109,2.53,0.0127,283608,19621,435122,4835,718730,24456,
7,Qwen3 32B,gpt-oss-120b,0.7047,0.12,0.0006,296017,5413,376996,31364,673013,36777,
8,Qwen3 32B,Qwen3 Next 80B A3B,0.6912,0.11,0.0005,296017,5416,386034,1554,682051,6970,
9,Claude 3 Haiku,Qwen3 Next 80B A3B,0.6860,0.15,0.0008,313176,13569,379723,1409,692899,14978,
10,Ministral 3 8B,gpt-oss-120b,0.6856,0.12,0.0006,294258,10869,391131,32071,685389,42940,
11,Claude 3 Haiku,gpt-oss-120b,0.6844,0.16,0.0008,313176,13775,357717,24466,670893,38241,
12,Kimi K2.5,Qwen3 Next 80B A3B,0.6841,0.28,0.0014,283608,19435,307091,1359,590699,20794,
13,Qwen3 Next 80B A3B,Qwen3 Next 80B A3B,0.6829,0.12,0.0006,,,,,697732,11142,same_model (tokens unsplittable)
14,Qwen3 32B,gpt-oss-20b,0.6775,0.09,0.0004,290879,5333,377042,47025,667921,52358,
15,Ministral 3 8B,Qwen3 Next 80B A3B,0.6746,0.11,0.0005,294258,11105,397649,2293,691907,13398,
16,gpt-oss-120b,Claude Opus 4.6,0.6703,1.57,0.0079,290080,33440,282811,3543,572891,36983,
17,Kimi K2.5,Ministral 3 8B,0.6679,0.27,0.0014,283608,21072,234144,1135,517752,22207,
18,Qwen3 Next 80B A3B,gpt-oss-20b,0.6679,0.09,0.0005,293788,7326,402096,44259,695884,51585,
19,Kimi K2.5,gpt-oss-120b,0.6676,0.29,0.0015,283608,21373,289111,20646,572719,42019,
20,Ministral 3 8B,gpt-oss-20b,0.6655,0.09,0.0004,289902,10721,400687,45676,690589,56397,
21,Kimi K2.5,gpt-oss-20b,0.6649,0.25,0.0013,280626,16546,316911,32106,597537,48652,
22,Claude 3 Haiku,gpt-oss-20b,0.6510,0.13,0.0007,311692,13870,376072,37617,687764,51487,
23,Claude 3 Haiku,Ministral 3 8B,0.6441,0.14,0.0007,313176,13799,283894,1394,597070,15193,
24,Qwen3 Next 80B A3B,Kimi K2.5,0.6428,0.27,0.0013,295221,7303,338100,3066,633321,10369,
25,Ministral 3 8B,Kimi K2.5,0.6403,0.26,0.0013,294258,11095,341512,2512,635770,13607,
26,Qwen3 32B,Kimi K2.5,0.6377,0.26,0.0013,296017,5394,343510,2838,639527,8232,
27,gpt-oss-120b,Qwen3 Next 80B A3B,0.6362,0.09,0.0005,290080,31991,207656,769,497736,32760,
28,Qwen3 Next 80B A3B,Ministral 3 8B,0.6329,0.10,0.0005,295221,7350,291403,1383,586624,8733,
29,Claude 3 Haiku,Kimi K2.5,0.6286,0.31,0.0015,313176,13628,330185,3920,643361,17548,
30,gpt-oss-120b,Claude Haiku 4.5,0.6238,0.36,0.0018,290080,33389,280107,3031,570187,36420,
31,Ministral 3 8B,Ministral 3 8B,0.6220,0.09,0.0005,,,,,588438,12418,same_model (tokens unsplittable)
32,Qwen3 32B,Ministral 3 8B,0.6209,0.09,0.0005,296017,5411,289463,1341,585480,6752,
33,Kimi K2.5,Kimi K2.5,0.6196,0.45,0.0023,,,,,615012,27874,same_model (tokens unsplittable)
34,gpt-oss-120b,Kimi K2.5,0.6115,0.17,0.0009,290080,33229,177240,1172,467320,34401,
35,gpt-oss-120b,Claude 3 Haiku,0.6089,0.12,0.0006,290080,34126,221834,1002,511914,35128,
36,gpt-oss-120b,Ministral 3 8B,0.6064,0.09,0.0004,290080,33406,157815,794,447895,34200,
37,gpt-oss-120b,gpt-oss-120b,0.6051,0.10,0.0005,,,,,485398,45203,same_model (tokens unsplittable)
38,gpt-oss-120b,gpt-oss-20b,0.5910,0.08,0.0004,288825,32521,206346,18584,495171,51105,
39,gpt-oss-120b,Qwen3 32B,0.5854,0.09,0.0005,290080,33405,183814,1275,473894,34680,
40,Kimi K2.5,Claude 3 Haiku,0.5718,0.32,0.0016,283608,16681,369387,2002,652995,18683,
41,Claude 3 Haiku,Qwen3 32B,0.5628,0.15,0.0008,313176,13312,383030,3090,696206,16402,
42,Kimi K2.5,Qwen3 32B,0.5572,0.27,0.0014,283608,16000,339488,2451,623096,18451,
43,Ministral 3 8B,Qwen3 32B,0.5530,0.11,0.0005,294258,10891,391999,3314,686257,14205,
44,gpt-oss-20b,Claude Opus 4.6,0.5513,0.90,0.0045,290080,45575,166723,1307,456803,46882,
45,gpt-oss-20b,Ministral 3 8B,0.5499,0.05,0.0002,290080,44803,102206,579,392286,45382,
46,Qwen3 Next 80B A3B,Qwen3 32B,0.5488,0.11,0.0006,295221,7373,388797,3507,684018,10880,
47,gpt-oss-20b,Kimi K2.5,0.5469,0.11,0.0006,290080,49803,125291,1172,415371,50975,
48,gpt-oss-20b,gpt-oss-120b,0.5426,0.06,0.0003,290080,48812,140241,9370,430321,58182,
49,Qwen3 32B,Qwen3 32B,0.5421,0.11,0.0005,,,,,682879,8478,same_model (tokens unsplittable)
50,Claude 3 Haiku,Claude 3 Haiku,0.5413,0.20,0.0010,,,,,739113,16014,same_model (tokens unsplittable)
51,gpt-oss-20b,Claude Haiku 4.5,0.5406,0.25,0.0012,290080,48878,193574,3590,483654,52468,
52,gpt-oss-20b,Claude 3 Haiku,0.5308,0.08,0.0004,290080,48638,160238,798,450318,49436,
53,gpt-oss-20b,Qwen3 Next 80B A3B,0.5287,0.05,0.0003,290080,47354,128355,655,418435,48009,
54,gpt-oss-20b,gpt-oss-20b,0.5269,0.05,0.0002,,,,,418630,59269,same_model (tokens unsplittable)
55,Ministral 3 8B,Claude 3 Haiku,0.5165,0.16,0.0008,294258,11083,446408,2429,740666,13512,
56,gpt-oss-20b,Qwen3 32B,0.4960,0.06,0.0003,290080,46176,145656,1296,435736,47472,
57,Qwen3 Next 80B A3B,Claude 3 Haiku,0.4886,0.17,0.0008,295221,7316,442827,2322,738048,9638,
58,Qwen3 32B,Claude 3 Haiku,0.4829,0.16,0.0008,296017,5383,440751,2098,736768,7481,
59,Claude 3 Haiku,Claude Haiku 4.5,0.4728,0.71,0.0036,313176,13563,527340,16941,840516,30504,
60,Claude Haiku 4.5,Claude Opus 4.6,0.4340,1.80,0.0091,313176,22741,260190,2929,573366,25670,
61,Claude Haiku 4.5,Kimi K2.5,0.4151,0.55,0.0028,313176,22740,177529,4756,490705,27496,
62,Claude Haiku 4.5,Ministral 3 8B,0.4121,0.45,0.0023,313176,22741,146930,1025,460106,23766,
63,Claude Haiku 4.5,gpt-oss-20b,0.4118,0.45,0.0023,313176,22741,208411,28951,521587,51692,
64,Claude Haiku 4.5,gpt-oss-120b,0.4083,0.47,0.0023,313176,22744,191579,16234,504755,38978,
65,Claude Haiku 4.5,Qwen3 Next 80B A3B,0.4054,0.46,0.0023,313176,22740,203673,1846,516849,24586,
66,Kimi K2.5,Claude Haiku 4.5,0.4037,0.87,0.0044,283608,19966,522950,23856,806558,43822,
67,Claude Haiku 4.5,Qwen3 32B,0.3564,0.46,0.0023,313176,22741,194405,1571,507581,24312,
68,Claude Haiku 4.5,Claude 3 Haiku,0.3410,0.48,0.0024,313176,22740,221281,1312,534457,24052,
69,Ministral 3 8B,Claude Haiku 4.5,0.3395,0.74,0.0037,294258,11099,568594,25850,862852,36949,
70,Claude Opus 4.6,Claude Opus 4.6,0.3270,2.00,0.0101,,,,,313375,17504,same_model (tokens unsplittable)
71,Claude Opus 4.6,Kimi K2.5,0.3244,2.01,0.0101,313375,17555,0,0,313375,17555,role2_never_called
72,Claude Opus 4.6,Qwen3 Next 80B A3B,0.3205,2.01,0.0101,313375,17619,0,0,313375,17619,role2_never_called
73,Claude Opus 4.6,gpt-oss-120b,0.3200,2.01,0.0101,313375,17866,0,0,313375,17866,role2_never_called
74,Claude Opus 4.6,Ministral 3 8B,0.3180,2.01,0.0101,313375,17583,0,0,313375,17583,role2_never_called
75,Claude Opus 4.6,Claude 3 Haiku,0.3180,2.01,0.0101,313375,17669,0,0,313375,17669,role2_never_called
76,Claude Opus 4.6,Qwen3 32B,0.3152,2.01,0.0101,313375,17813,0,0,313375,17813,role2_never_called
77,Claude Opus 4.6,gpt-oss-20b,0.3131,2.01,0.0101,313375,17813,0,0,313375,17813,role2_never_called
78,Qwen3 Next 80B A3B,Claude Haiku 4.5,0.3085,0.71,0.0036,295221,7276,539874,23530,835095,30806,
79,Claude Opus 4.6,Claude Haiku 4.5,0.3081,2.01,0.0101,313375,17684,0,0,313375,17684,role2_never_called
80,Claude Haiku 4.5,Claude Haiku 4.5,0.2657,0.79,0.0040,,,,,606572,36343,same_model (tokens unsplittable)
81,Qwen3 32B,Claude Haiku 4.5,0.2511,0.72,0.0036,296017,5410,534605,27906,830622,33316,
