rank,answer_model,critic_model,accuracy,total_cost,cost_per_sample,answer_input_tokens,answer_output_tokens,critic_input_tokens,critic_output_tokens,total_input_tokens,total_output_tokens,note
1,Claude Opus 4.6,Qwen3 Next 80B A3B,0.9883,5.89,0.0345,833515,68418,95356,513,928871,68931,
2,Claude Opus 4.6,Ministral 3 8B,0.9873,5.31,0.0338,749940,62079,82018,628,831958,62707,
3,Claude Opus 4.6,Claude Haiku 4.5,0.9827,6.09,0.0352,835192,69371,92316,17218,927508,86589,
4,Claude Opus 4.6,Qwen3 32B,0.9779,6.42,0.0355,907755,74641,103359,543,1011114,75184,
5,Claude Opus 4.6,Claude Opus 4.6,0.9777,6.95,0.0388,,,,,1008859,76069,same_model (tokens unsplittable)
6,Claude Opus 4.6,gpt-oss-120b,0.9773,6.14,0.0349,861851,71788,100887,42263,962738,114051,
7,Claude Opus 4.6,Claude 3 Haiku,0.9726,5.26,0.0360,741191,61168,79954,795,821145,61963,
8,Claude Opus 4.6,Kimi K2.5,0.9725,6.66,0.0366,938697,76481,95967,546,1034664,77027,
9,Claude Opus 4.6,gpt-oss-20b,0.9713,6.10,0.0351,861397,70992,99767,37977,961164,108969,
10,Claude Haiku 4.5,Ministral 3 8B,0.9447,2.59,0.0130,1882620,131781,278600,32355,2161220,164136,
11,Claude Haiku 4.5,Claude Haiku 4.5,0.9400,3.17,0.0158,,,,,2361416,161331,same_model (tokens unsplittable)
12,Claude Haiku 4.5,Claude Opus 4.6,0.9400,3.89,0.0194,1625496,125752,229937,19261,1855433,145013,
13,Claude Haiku 4.5,Qwen3 Next 80B A3B,0.9400,2.50,0.0125,1703285,141093,315615,38497,2018900,179590,
14,Ministral 3 8B,Claude 3 Haiku,0.9398,0.05,0.0004,23086,82164,114189,1996,137275,84160,
15,Claude Haiku 4.5,Kimi K2.5,0.9397,2.92,0.0147,2091793,128329,214328,20141,2306121,148470,
16,gpt-oss-20b,gpt-oss-120b,0.9396,0.12,0.0006,141349,159101,77950,79770,219299,238871,
17,Claude Haiku 4.5,Qwen3 32B,0.9350,2.72,0.0136,1945131,146227,252970,7032,2198101,153259,
